,time,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,cosine_semanticL,partner_direction,condition_info
137,3,0.12909944487358055,0.12126781251816648,0.0,0.0,0.6608512016295082,r>l,dyad14-dyad41-cond1
138,4,0.0,0.0,0.0,0.0,0.5980466636183039,l>r,dyad14-dyad41-cond1
139,5,0.0,0.0,0.0,0.0,0.5197942648018578,r>l,dyad14-dyad41-cond1
140,6,0.0,0.0,0.0,0.0,0.5032902880614721,l>r,dyad14-dyad41-cond1
141,7,0.0,0.0,0.0,0.0,0.2938682594529365,r>l,dyad14-dyad41-cond1
142,8,0.26726124191242434,0.0,0.0,0.0,0.3173463804953811,l>r,dyad14-dyad41-cond1
143,9,0.30304576336566325,0.30304576336566325,0.0,0.0,0.6527032537353852,r>l,dyad14-dyad41-cond1
144,10,0.15430334996209194,0.3086066999241839,0.0,0.0,0.6883457225811938,l>r,dyad14-dyad41-cond1
145,11,0.0,0.0,0.0,0.0,0.5647579636703622,r>l,dyad14-dyad41-cond1
146,12,0.31622776601683794,0.31622776601683794,0.0,0.0,0.45071503435298943,l>r,dyad14-dyad41-cond1
147,13,0.0,0.0,0.0,0.0,0.5081354268013084,r>l,dyad14-dyad41-cond1
148,14,0.0,0.0,0.0,0.0,0.6614035656794411,l>r,dyad14-dyad41-cond1
149,15,0.26726124191242434,0.26726124191242434,0.0,0.0,0.40916765007791756,r>l,dyad14-dyad41-cond1
150,16,0.0,0.0,0.0,0.0,0.2678332217164838,l>r,dyad14-dyad41-cond1
151,17,0.0,0.0,0.0,0.0,0.517370759848043,r>l,dyad14-dyad41-cond1
152,18,0.17056057308448833,0.12909944487358055,0.0,0.0,0.6183021363205667,l>r,dyad14-dyad41-cond1
153,19,0.30151134457776363,0.31622776601683794,0.0,0.0,0.23692520004368078,r>l,dyad14-dyad41-cond1
154,20,0.0,0.0,0.0,0.0,0.05056578924130306,l>r,dyad14-dyad41-cond1
155,21,0.0,0.0,0.0,0.0,0.1536234247487297,r>l,dyad14-dyad41-cond1
156,22,0.0,0.0,0.0,0.0,0.1738865870647237,l>r,dyad14-dyad41-cond1
157,23,0.0,0.0,0.0,0.0,0.3309579047901636,r>l,dyad14-dyad41-cond1
158,24,0.2452557357939863,0.11470786693528087,0.0,0.0,0.7115054238221984,l>r,dyad14-dyad41-cond1
159,25,0.0,0.0,0.0,0.0,0.7103951448815725,r>l,dyad14-dyad41-cond1
160,26,0.08703882797784893,0.07453559924999299,0.0,0.0,0.7239227330672043,l>r,dyad14-dyad41-cond1
161,27,0.2022599587389726,0.11547005383792514,0.0,0.0,0.7206675258697267,r>l,dyad14-dyad41-cond1
162,28,0.1732050807568877,0.10846522890932807,0.0,0.0,0.7682714605217638,l>r,dyad14-dyad41-cond1
163,29,0.1632993161855452,0.07669649888473704,0.09128709291752768,0.09128709291752768,0.7831895109522107,r>l,dyad14-dyad41-cond1
164,30,0.0,0.0,0.0,0.0,0.5871987445315945,l>r,dyad14-dyad41-cond1
165,31,0.0,0.0,0.0,0.0,0.2742046081134252,r>l,dyad14-dyad41-cond1
166,32,0.0,0.0,0.0,0.0,0.19911653156053177,l>r,dyad14-dyad41-cond1
167,33,0.3779644730092272,0.0,0.0,0.0,0.3933595637518008,r>l,dyad14-dyad41-cond1
168,34,0.0,0.1259881576697424,0.0,0.0,0.42628091825844905,l>r,dyad14-dyad41-cond1
169,35,0.2857142857142857,0.2519763153394848,0.0,0.0,0.47201919277933935,r>l,dyad14-dyad41-cond1
170,36,0.0,0.1543033499620919,0.0,0.0,0.39698011940865674,l>r,dyad14-dyad41-cond1
171,37,0.0,0.23570226039551587,0.0,0.0,0.34095620841648944,r>l,dyad14-dyad41-cond1
172,38,0.0,0.2073903389460851,0.0,0.0,0.48884757154566016,l>r,dyad14-dyad41-cond1
173,39,0.37796447300922725,0.33705264882291225,0.0,0.0,0.5998395565809614,r>l,dyad14-dyad41-cond1
174,40,0.24494897427831783,0.07881104062391006,0.0,0.0,0.5208770642201982,l>r,dyad14-dyad41-cond1
175,41,0.0,0.0,0.0,0.0,0.40872138152938775,r>l,dyad14-dyad41-cond1
176,42,0.22360679774997896,0.0,0.0,0.0,0.5732794986278771,l>r,dyad14-dyad41-cond1
177,43,0.0,0.07071067811865474,0.0,0.0,0.5446945513004904,r>l,dyad14-dyad41-cond1
178,44,0.0,0.0,0.0,0.0,0.3745271562331949,l>r,dyad14-dyad41-cond1
179,45,0.0,0.0,0.0,0.0,,r>l,dyad14-dyad41-cond1
180,46,0.0,0.35355339059327373,0.0,0.0,,l>r,dyad14-dyad41-cond1
181,47,0.24999999999999994,0.0,0.0,0.0,0.18123602451459353,r>l,dyad14-dyad41-cond1
182,48,0.0,0.0,0.0,0.0,0.37461874036371456,l>r,dyad14-dyad41-cond1
183,0,0.1543033499620919,0.1543033499620919,0.0,0.0,0.5629406736449227,l>r,dyad15-dyad30-cond1
184,1,0.16329931618554522,0.16329931618554522,0.0,0.0,0.7113803410167493,r>l,dyad15-dyad30-cond1
185,2,0.0,0.0,0.0,0.0,0.48863372023772356,l>r,dyad15-dyad30-cond1
186,3,0.0,0.0,0.0,0.0,0.43362516010195606,r>l,dyad15-dyad30-cond1
187,4,0.34156502553198664,0.34156502553198664,0.0,0.0,0.6616514269230797,l>r,dyad15-dyad30-cond1
188,5,0.1478442541909146,0.19117977822546817,0.0,0.0,0.7787384259383779,r>l,dyad15-dyad30-cond1
189,6,0.0,0.06622661785325219,0.0,0.0,0.6695752613442061,l>r,dyad15-dyad30-cond1
190,7,0.027441064997422587,0.02592379236826063,0.0,0.0,0.6798432411163974,r>l,dyad15-dyad30-cond1
191,8,0.3364632924552266,0.43600380410529593,0.07647191129018725,0.07647191129018725,0.7471091845337681,l>r,dyad15-dyad30-cond1
192,9,0.36388906858723874,0.498620687027404,0.04303314829119352,0.043355498476206,0.7088164993077295,r>l,dyad15-dyad30-cond1
193,10,0.2254938084008487,0.21320071635561044,0.0,0.0,0.7125034514903968,l>r,dyad15-dyad30-cond1
194,11,0.16012815380508716,0.16012815380508716,0.0,0.0,0.4581633102482634,r>l,dyad15-dyad30-cond1
195,12,0.1386750490563073,0.2773500981126146,0.0,0.0,0.19646432038038053,l>r,dyad15-dyad30-cond1
196,13,0.23211917272131485,0.2153527608232662,0.0,0.058520573598065284,0.2687168837432692,r>l,dyad15-dyad30-cond1
197,14,0.4642383454426297,0.3592106040535498,0.0,0.0,0.40431292922736795,l>r,dyad15-dyad30-cond1
198,15,0.30460384954008574,0.2822162605150792,0.0,0.0,0.4466177139472882,r>l,dyad15-dyad30-cond1
199,16,0.07179581586177382,0.13303802104754783,0.0,0.0,0.2886679669746337,l>r,dyad15-dyad30-cond1
200,17,0.0,0.0,0.0,0.0,0.3433003978036627,r>l,dyad15-dyad30-cond1
201,18,0.0,0.0,0.0,0.0,0.31195843469253604,l>r,dyad15-dyad30-cond1
202,19,0.16903085094570328,0.16903085094570328,0.0,0.0,0.454499117703973,r>l,dyad15-dyad30-cond1
203,20,0.16666666666666666,0.1651445647689541,0.0576390417704235,0.0563436169819011,0.7513793923940247,l>r,dyad15-dyad30-cond1
204,21,0.3438105391536708,0.3126943839882286,0.033819056094007,0.033058980245364314,0.9192950539472486,r>l,dyad15-dyad30-cond1
205,22,0.0524863881081478,0.04938647983247948,0.0,0.0,0.5121427529383792,l>r,dyad15-dyad30-cond1
206,23,0.0,0.0,0.0,0.0,0.3686226884964877,r>l,dyad15-dyad30-cond1
207,24,0.13608276348795434,0.0716114874039433,0.0,0.12909944487358055,0.8104376690794318,l>r,dyad15-dyad30-cond1
